1150702.00,1150709.00,  -1.00,   5.00,-601.00
1150709.00,1150714.00,   1.00,   2.00, 360.00
1150714.00,1150720.00,   0.00,   4.00, -57.00
1150720.00,1150730.00,   0.00,   8.00,-395.00
1150730.00,1150806.00,   0.00,   5.00, -53.00
1150806.00,1150811.00,   0.00,   3.00, -23.00
1150811.00,1150824.00,  -1.00,   9.00,-1546.00
1150824.00,1150831.00,   1.00,   5.00,1024.00
1150831.00,1150902.00,  -1.00,   2.00,-273.00
1150902.00,1150907.00,   0.00,   3.00,  82.00
1150907.00,1150909.00,   1.00,   2.00, 497.00
1150909.00,1150917.00,   0.00,   6.00, 138.00
1150917.00,1150930.00,  -1.00,   7.00,-495.00
1150930.00,1151022.00,   0.00,  15.00, 583.00
1151022.00,1151026.00,   1.00,   2.00, 199.00
1151026.00,1151030.00,  -1.00,   4.00,-281.00
1151030.00,1151104.00,   1.00,   3.00, 416.00
1151104.00,1151116.00,  -1.00,   8.00,-688.00
1151116.00,1151117.00,   1.00,   1.00, 278.00
1151117.00,1151119.00,  -1.00,   2.00,-167.00
1151119.00,1151127.00,   1.00,   6.00, 211.00
1151127.00,1151130.00,  -1.00,   1.00,-332.00
1151130.00,1151207.00,   1.00,   5.00, 348.00
1151207.00,1151214.00,  -1.00,   5.00,-601.00
1151214.00,1151221.00,   0.00,   5.00, 184.00
1151221.00,1151228.00,   1.00,   5.00, 261.00
1151228.00,1160113.00,   0.00,  11.00,-545.00
1160113.00,1160118.00,  -1.00,   3.00,-346.00
1160118.00,1160119.00,   1.00,   1.00, 365.00
1160119.00,1160121.00,  -1.00,   2.00,-267.00
1160121.00,1160130.00,   1.00,   7.00, 566.00
1160130.00,1160215.00,  -1.00,   4.00,-260.00
1160215.00,1160222.00,   1.00,   5.00, 497.00
1160222.00,1160224.00,  -1.00,   2.00,-188.00
1160224.00,1160307.00,   1.00,   7.00, 469.00
1160307.00,1160308.00,  -1.00,   1.00,-160.00
1160308.00,1160315.00,   0.00,   5.00,  53.00
1160315.00,1160317.00,   1.00,   2.00, 241.00
1160317.00,1160329.00,  -1.00,   8.00,-255.00
1160329.00,1160331.00,   1.00,   2.00, 251.00
1160331.00,1160408.00,  -1.00,   4.00,-440.00
1160408.00,1160419.00,   1.00,   7.00, 373.00
1160419.00,1160421.00,  -1.00,   2.00,-293.00
1160421.00,1160426.00,   1.00,   3.00, 164.00
1160426.00,1160511.00,   0.00,  10.00,-427.00
1160511.00,1160513.00,  -1.00,   2.00,-239.00
1160513.00,1160517.00,   1.00,   2.00, 199.00
1160517.00,1160519.00,  -1.00,   2.00,-146.00
1160519.00,1160608.00,   1.00,  15.00, 736.00
1160608.00,1160616.00,  -1.00,   4.00,-495.00
1160616.00,1160624.00,   1.00,   6.00, 306.00
1160624.00,1160707.00,  -1.00,   8.00, -48.00
1160707.00,1160720.00,   1.00,   8.00, 537.00
1160720.00,1160725.00,  -1.00,   3.00,-239.00
1160725.00,1160727.00,   1.00,   2.00, 246.00
1160727.00,1160801.00,   0.00,   3.00,  -6.00
1160801.00,1160803.00,  -1.00,   2.00,-182.00
1160803.00,1160810.00,   1.00,   5.00, 306.00
1160810.00,1160811.00,  -1.00,   1.00,-169.00
1160811.00,1160815.00,   1.00,   2.00, 163.00
1160815.00,1160822.00,  -1.00,   5.00,-308.00
1160822.00,1160826.00,   1.00,   4.00, 237.00
1160826.00,1160901.00,  -1.00,   4.00,-207.00
1160901.00,1160907.00,   1.00,   4.00, 379.00
1160907.00,1160913.00,  -1.00,   5.00,-446.00
1160913.00,1160929.00,   1.00,   8.00, 481.00
1160929.00,1160930.00,  -1.00,   1.00,-170.00
1160930.00,1161011.00,   1.00,   6.00, 216.00
1161011.00,1161017.00,  -1.00,   4.00,-283.00
1161017.00,1161025.00,   1.00,   6.00, 334.00
1161025.00,1161109.00,   0.00,  11.00, -87.00
1161109.00,1161114.00,  -1.00,   3.00,-430.00
1161114.00,1161116.00,   1.00,   2.00, 157.00
1161116.00,1161205.00,  -1.00,  13.00,  83.00
1161205.00,1161212.00,   1.00,   5.00, 323.00
1161212.00,1161223.00,  -1.00,   9.00,-352.00
1161223.00,1170110.00,   0.00,  11.00, 232.00
1170110.00,1170112.00,   1.00,   2.00, 113.00
1170112.00,1170119.00,  -1.00,   5.00,-179.00
1170119.00,1170216.00,   1.00,  14.00, 598.00
1170216.00,1170221.00,  -1.00,   4.00,-124.00
1170221.00,1170222.00,   1.00,   1.00,  99.00
1170222.00,1170306.00,  -1.00,   6.00,-208.00
1170306.00,1170308.00,   1.00,   2.00, 146.00
1170308.00,1170310.00,  -1.00,   2.00,-210.00
1170310.00,1170321.00,   1.00,   7.00, 425.00
1170321.00,1170328.00,  -1.00,   5.00,-175.00
1170328.00,1170405.00,   1.00,   4.00, 163.00
1170405.00,1170407.00,  -1.00,   2.00,-196.00
1170407.00,1170420.00,   0.00,   9.00,-188.00
1170420.00,1170503.00,   1.00,   8.00, 382.00
1170503.00,1170505.00,  -1.00,   2.00, -87.00
